tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N198UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N199DN,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N199UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N200AA,2019,NA,TEXTRON AVIATION INC,208B,1,12,NA,Turbo-prop
N200PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N200WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N201AA,1959,NA,CESSNA,150,1,2,90,Reciprocating
N201FR,2008,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N201LV,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N202AA,1980,NA,CESSNA,421C,2,8,90,Reciprocating
N202FR,2008,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N202WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N203JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N203WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N204WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N205FR,2010,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N205WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N206FR,2010,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N206JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N206UA,1999,NA,BOEING,777-222,2,400,NA,Turbo-fan
N206WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N207FR,2010,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N207WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N208WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N20904,2012,NA,BOEING,787-8,2,260,NA,Turbo-fan
N209WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N210FR,2011,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N210WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N21108,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N21129,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N21130,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N21144,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N21154,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N21197,2006,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N211FR,2011,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N211WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N212WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N213FR,2011,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N213WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N214WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N215WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N216FR,2011,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N216JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N216WR,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N21723,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N217JC,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N218WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N219WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N220WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N221WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N222WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N223WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N224WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N225WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N226WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N227WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N228JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N228PQ,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N228UA,2002,NA,BOEING,777-222,2,400,NA,Turbo-fan
N228WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N22909,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N229JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N229WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N230WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N23139,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N231JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N231WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N232PQ,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N232WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N233LV,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N234WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N235WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N236JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N236WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N23707,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N23708,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N23721,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N237WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N238JB,NA,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N238WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N239JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N239WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N240WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N24103,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N24128,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N241WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N24202,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N24211,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N24212,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N24224,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N242WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N243WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N244WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N245WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N246LV,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N24702,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N24706,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N24715,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N24729,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N247JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N247WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N248WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N249JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N249WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N250WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N25134,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N251WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N252WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N253WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N254WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N255WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N256WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N25705,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N257WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N258JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N258WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N259WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N260WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N26141,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N261AT,NA,NA,CIRRUS DESIGN CORP,SR22T,1,5,NA,Reciprocating
N261WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N26208,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N26210,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N26215,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N26226,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N262WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N263WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N264LV,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N26545,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N26549,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N265JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N265WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N266JB,2007,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N266WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N267JB,2007,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N267WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N268WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N26906,2012,NA,BOEING,787-8,2,260,NA,Turbo-fan
N269WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N270WN,1998,NA,BOEING,737-705,2,149,NA,Turbo-fan
N27152,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N27190,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N271LV,NA,NA,BOEING,737-705,2,149,NA,Turbo-fan
N27200,2006,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N27205,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N27213,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N27239,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N272PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N272WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N273JB,2007,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N273WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N27421,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N27477,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N274JB,2007,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N274WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N275WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N276WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N27722,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N27724,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N27733,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N277WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N278AT,2022,NA,AIR TRACTOR INC,AT-802A,1,2,NA,Turbo-prop
N278WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N27901,2012,NA,BOEING,787-8,2,260,NA,Turbo-fan
N279AT,2017,NA,AUTOGYRO USA LLC,CALIDUS,1,2,NA,4 Cycle
N279JB,2007,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N279PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N279WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N280WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N281JB,2007,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N281WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N282WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N283JB,2007,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N283WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N28457,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N28478,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N284JB,2008,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N284WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N285AT,NA,NA,CESSNA,T303,2,4,NA,Reciprocating
N285WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N286WN,2004,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N287WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N288WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N289CT,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N290WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N29124,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N29129,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N291WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N292JB,2008,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N292PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N292WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N293PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N293WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N294JB,2008,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N294PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N294WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N295AT,NA,NA,UNMANNED SYSTS & SOLUTIONS LLC,LE1400Z,8,NA,NA,Electric
N295PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N295WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N296JB,2008,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N296PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N296WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N29717,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N297PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N297WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N298JB,2009,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N298PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N298WN,2007,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N29906,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N29917,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N299AT,2015,NA,CIRRUS DESIGN CORP,SR20,1,4,NA,Reciprocating
N299PQ,2013,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N299WN,NA,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N301NB,1999,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N302AS,2003,NA,BOEING,737-990,2,149,NA,Turbo-fan
N302NB,1999,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N303AS,2001,NA,BOEING,737-990,2,149,NA,Turbo-fan
N30401,2001,NA,BOEING,737-924,2,191,NA,Turbo-fan
N304JB,2009,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N305AS,2001,NA,BOEING,737-990,2,149,NA,Turbo-fan
N305DQ,2008,NA,BOEING,737-732,2,149,NA,Turbo-fan
N306AS,2001,NA,BOEING,737-990,2,149,NA,Turbo-fan
N306JB,2009,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N307AS,2001,NA,BOEING,737-990,2,149,NA,Turbo-fan
N307JB,2009,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N308AT,NA,NA,UNMANNED SYSTS & SOLUTIONS LLC,LE1400Z,8,NA,NA,Electric
N308DE,NA,NA,BOEING,737-732,2,149,NA,Turbo-fan
N309AS,2001,NA,BOEING,737-990,2,149,NA,Turbo-fan
N309DE,2009,NA,BOEING,737-732,2,149,NA,Turbo-fan
N309JB,2009,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N309US,1990,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N310DE,2009,NA,BOEING,737-732,2,149,NA,Turbo-fan
N31131,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N312US,1990,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N31412,2002,NA,BOEING,737-924,2,191,NA,Turbo-fan
N314NB,2000,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N315AS,2002,NA,BOEING,737-990,2,149,NA,Turbo-fan
N315AT,2019,NA,JOHN G HESS,AT-5,1,2,NA,4 Cycle
N315NB,2000,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N316JB,2009,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N316NB,2000,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N317JB,2010,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N317NB,2000,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N317US,1991,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N318AS,2003,NA,BOEING,737-990,2,149,NA,Turbo-fan
N318AT,2018,NA,CIRRUS DESIGN CORP,SR22T,1,5,NA,Reciprocating
N318JB,2010,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N318NB,2000,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N319AS,2003,NA,BOEING,737-990,2,149,NA,Turbo-fan
N319NB,2000,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N319US,1991,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N320AS,2003,NA,BOEING,737-990,2,149,NA,Turbo-fan
N320NB,2000,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N320US,1991,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N321NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N321US,1991,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N322NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N322US,1991,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N323AA,1989,NA,BRITISH AEROSPACE,BAE 125 SERIES 800A,2,14,NA,Turbo-fan
N323AS,2004,NA,BOEING,737-990,2,149,NA,Turbo-fan
N323JB,2010,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N323NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N323US,1991,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N32404,2001,NA,BOEING,737-924,2,191,NA,Turbo-fan
N324JB,2010,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N324NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N324US,1991,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N325AA,2019,NA,BOMBARDIER INC,BD-100-1A10,2,8,NA,Turbo-fan
N325NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N325US,1991,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N326NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N326US,1991,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N327NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N327NW,1992,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N328JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N328NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N328NW,1992,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N329JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N329NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N329NW,1992,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N330AT,NA,NA,CIRRUS DESIGN CORP,SR22T,1,5,NA,Reciprocating
N330NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N330NW,1992,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N33103,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N33132,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N33182,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N331NB,NA,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N331NW,1992,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N33203,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33209,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33262,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33264,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33266,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33284,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33286,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33289,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33292,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33294,2005,NA,BOEING,737-824,2,149,NA,Turbo-fan
N332NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N332NW,1992,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N333NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N333NW,1992,NA,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N334JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N334NB,2002,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N334NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N335NB,2002,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N335NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N336NB,2002,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N336NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N33714,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N337JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N337NB,2002,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N337NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N338NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N338NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N339JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N339NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N339NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N340LV,1987,NA,BOEING,737-3K2,2,149,NA,Turbo-fan
N340NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N340NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34110,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N34111,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N34131,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N34137,1999,NA,BOEING,757-224,2,178,NA,Turbo-fan
N341NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N341NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34222,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N34282,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N342AA,2020,NA,JAY ANDING,RV-8,1,2,NA,Reciprocating
N342NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N342NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N343NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N343NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34455,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N34460,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N344AA,1992,NA,GULFSTREAM AEROSPACE,G-IV,2,22,NA,Turbo-fan
N344NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N344NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N345NB,NA,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N345NW,1993,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N346JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N346NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N347NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N347NW,1993,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N348JB,2012,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N348NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N348NW,1993,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N349NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
